"a"	"b"	"c"	"d"	"e"	"f"	"g"	"h"	"Y"
2	-0.520291492428822	1.47984001308351	-2.84491844930899	0.66805558744818	3	2	12	0
3	0.906943845162034	-0.818186304493241	-2.9548823021514	0.417646779678762	7	1	5	1
4	-0.737025418860726	-1.68528847163848	3.10025131162403	0.788195834029466	8	1	23	0
3	-0.164064376808043	3.10273888931994	0.112399487768407	0.102864644257352	3	2	9	1
2	-0.550868786455784	3.66973156670631	0.609904763196403	0.434892741497606	5	1	12	1
9	-0.517299165073573	2.99081571581705	-5.25597460606547	0.984956979984418	1	1	15	0
6	-0.0607326524629998	4.06404221643809	2.27789479060973	0.893051114398986	6	2	14	0
10	0.179740708444933	1.60338633112771	-1.01321326754275	0.886469060787931	3	1	21	0
10	0.378724091848717	2.33753892114134	-4.92983475950889	0.175052650272846	6	1	31	1
6	-0.667585681322486	1.30429285883516	1.1979685632099	0.130695691565052	8	2	2	1
8	-1.43520355756523	8.00409217286084	1.79046560517905	0.653101925039664	7	0	15	0
2	1.820091660723	-1.07464017272559	-1.42688371612259	0.343516472261399	8	3	21	1
5	0.645030397095548	-1.21743883235284	-0.951787874113145	0.656758127966896	4	2	11	0
8	0.977291407172931	-1.46195047407901	-1.29011324567079	0.320373242488131	1	3	16	1
1	-0.926467527652763	1.72235259584954	-0.187806572058965	0.187691119266674	6	0	10	1
3	-1.16389463034844	-3.22574165398238	0.820819707880518	0.782294301316142	10	0	7	1
4	0.209533873781897	1.834515283279	-0.912441578044373	0.0935949867125601	3	2	7	1
5	-0.957484919284847	3.16496658039962	2.90643206939253	0.46677904156968	3	0	21	1
7	0.692864461970764	3.95645288062992	-1.9647830573511	0.511505459900945	6	2	19	1
10	0.615255712454764	1.26281328072972	1.90879182511534	0.59998895926401	4	1	5	0
3	1.10994842010572	0.560311758495427	1.57138713813303	0.332823540316895	8	1	14	1
1	-0.0798288019228723	2.1349746918988	-2.28780362584856	0.488613033667207	6	2	11	1
5	-0.388196591349563	0.423814202405586	-1.16570978850853	0.954473827499896	2	2	15	0
8	-1.36560883307757	1.70851966483586	0.146695123746856	0.4829023971688	2	1	10	0
6	0.115348990100623	1.83006340150632	-2.84123288954114	0.890350222121924	4	4	26	0
7	2.18278317869868	-0.38417646869194	-2.46082487261569	0.914438186911866	6	1	7	0
8	-0.157342195218526	1.63452730765932	0.595172072482215	0.608734982321039	4	1	12	1
7	-0.536880780411295	1.55491606994071	-1.45967866904672	0.410689776530489	8	2	17	1
6	-1.46780614576225	5.34695828545102	-1.64071541516993	0.147094690939412	4	1	11	1
7	-0.16768138606081	2.33732140701733	-0.804366681335589	0.935299803270027	4	1	7	0
4	-1.70319832673372	2.85450413316076	-1.39179209852686	0.301228899974376	5	0	7	1
4	0.721173264208383	1.45872185364865	1.19979615271947	0.0607205715496093	5	1	12	1
1	0.117493155279389	2.63390414701513	-0.876368827823425	0.947726940037683	3	0	21	0
6	2.86298482629657	-2.36078417843971	0.486448342814413	0.720596273429692	4	1	13	1
9	0.297385258488327	-0.603346448998759	-1.76363690571265	0.142294295597821	6	2	6	1
4	0.809611389399094	1.9608491307153	0.206664830633797	0.549284656066447	5	1	19	0
7	2.5732832648084	2.75880795114048	1.91479088777064	0.95409123855643	2	1	6	0
6	-0.824745278851223	2.04278290086969	1.58038725955075	0.585483353119344	5	1	18	0
10	-0.487731675023966	2.62560917435091	2.156108943787	0.404510281747207	6	1	15	0
3	-1.14479419000929	2.17686795264582	2.09957765055599	0.64789347932674	7	2	4	0
7	-0.770257086605415	4.69378241310739	-0.0966237376002107	0.319820617092773	4	1	13	0
7	-0.0748887493715602	-3.10101058503743	0.228025373332363	0.307720010867342	6	0	10	1
2	-0.941553825087932	0.79126510283285	-4.60554144804309	0.219767631264403	4	1	7	1
10	-0.0812529027254665	3.20561686069451	-2.70513692145129	0.369488865835592	4	2	7	0
9	0.51427055120864	0.580676397977016	-1.07721084293267	0.984219203470275	4	2	9	0
2	1.30252083011133	-1.77803637072235	-2.63321278179516	0.154202300822362	5	1	11	1
5	-2.34571372862796	3.04347954894377	1.51537531133906	0.0910439998842776	3	1	10	1
4	-1.24109001120604	-1.04394295833935	1.44835018897627	0.141906907781959	5	3	6	0
3	0.532717568779061	4.33345183070838	-1.42779535776534	0.690007101511583	4	3	15	0
3	2.47191972808128	1.89051225935561	0.41504263608973	0.619256483390927	7	1	22	0
5	-1.16566475054784	-0.801246056130188	2.17655074632888	0.891394117148593	2	3	3	0
9	-0.996067204875557	0.368839507797489	0.461929373020224	0.672999092610553	3	2	7	1
1	1.54431480991695	2.57407993522537	-0.610526656567171	0.737077737925574	5	1	5	0
4	-1.45128151768957	2.35108447671601	-0.605820607030396	0.521135725779459	5	1	13	0
7	1.28202421585249	-0.334967879288324	1.04029426405955	0.65983844967559	4	0	10	1
9	-1.2403841176801	3.70058750686723	-1.59422200720248	0.821805460145697	8	3	9	0
3	-2.24715100711098	-0.667540270355478	-0.754699497364954	0.786281551700085	4	1	6	1
5	-0.587213353740312	0.703324544985544	1.11147510786172	0.979821917368099	4	1	8	0
2	1.43276784410853	1.73971554853399	2.74703913968974	0.439431536244228	8	1	15	1
3	0.0655660123707846	-1.0404894164322	0.65098942598851	0.31170220207423	4	2	9	1
5	-0.0613997930934497	1.9609723692573	1.05012935933812	0.409474952612072	9	2	5	1
8	0.337432725557346	-3.70550736892635	2.11168215926741	0.0104671118315309	5	4	15	1
7	-0.143216764639421	0.956033030241986	-1.46295438740981	0.18384952400811	6	3	12	1
3	2.29489495107584	0.830945408227195	2.57831412492397	0.842729318886995	6	1	12	0
9	0.700501571770342	2.10376974179906	0.214870734017048	0.231161782052368	5	0	18	1
4	0.301383364420191	2.64200256974034	-1.75350202692438	0.239099955651909	7	3	18	1
7	-1.09068460094671	1.62578351313198	-4.29188519178775	0.0766911653336138	8	2	18	1
4	-0.364287537847311	0.0408636799884795	-0.824238244868919	0.245723678031936	3	1	17	1
4	-1.33765983937618	-0.839580444540363	0.981818277615123	0.73213520552963	5	2	8	0
9	-0.769158260131715	0.964869456415778	1.61612704532072	0.847453165100887	3	3	4	0
8	-0.730049939580628	0.320456212969806	2.10453421935888	0.497527267085388	1	0	4	1
10	-0.949499516770615	5.12388431728944	0.523984248371577	0.387909029843286	5	2	31	1
8	-0.780713340205336	2.51921408340612	1.55780102271122	0.246448994148523	4	3	6	1
1	-0.162317814609611	0.799658319760221	1.19929475078976	0.111096461303532	2	2	5	1
8	1.02604572232847	1.39424603367036	-0.427383656163403	0.389994435245171	3	0	10	1
2	1.4465827635363	0.201554486672887	2.67993380391368	0.571935313986614	3	3	7	0
6	-0.327702342506238	3.29070210528989	0.608831418276313	0.216892762808129	4	3	8	1
2	1.53132626501207	0.482853468716342	-0.579936460845573	0.44476800202392	1	0	12	0
7	1.15601304637582	0.333614014780905	-2.12324691651658	0.21799066872336	7	0	8	1
2	1.46676126334403	2.51665759965142	1.43705252306895	0.502299563260749	7	0	9	1
4	1.24144482536654	1.53344517495973	-2.48186592710116	0.353904571849853	6	2	6	1
6	0.186854513527883	0.613939209058489	0.634940915218987	0.64998515881598	5	3	3	0
2	-2.41021106150509	2.28379531898926	-0.118669005012593	0.374713956611231	8	2	15	1
6	0.335658639272755	1.49225528933777	2.71340830006879	0.355445380788296	5	2	5	1
6	-1.08005487749799	0.0328921815090691	-0.677521978234128	0.533687945455313	4	0	26	0
4	-0.0437071437351738	2.30893719862057	2.30672291388648	0.740334360394627	5	2	8	0
3	1.05205688176489	-2.03006253920512	-2.45092724894363	0.221102937823161	5	1	7	1
4	0.169698166305607	1.53572714767285	1.06234292295091	0.41274611861445	8	1	13	0
8	0.300127057134595	3.76647113113893	1.73594769497632	0.265686686849222	6	1	3	1
8	1.10925742470288	0.982896765590372	3.03555230456451	0.629973053466529	3	1	6	0
7	-0.719830054422667	0.469542911842258	-1.05458811931159	0.183828490786254	6	2	27	1
1	1.87959256056381	2.3002177174873	0.173359332916154	0.86364411143586	5	1	6	0
8	-0.417795703084254	2.50344756436832	-0.119082097115327	0.746568004135042	7	0	19	0
10	-0.356905537856778	-0.566025834078674	2.02834323380894	0.668284649727866	4	1	4	0
8	-0.185912207401353	2.38347830341518	-3.26044272844364	0.618017873261124	5	0	6	1
6	0.903699326814908	-0.983353072673569	-1.32724201107442	0.372238060226664	10	3	9	1
3	1.0072373582271	-1.24932018265736	1.47832750516971	0.529835685854778	3	1	15	0
9	-0.282308351829716	-0.224506584247868	0.366399992145216	0.874682342866436	5	1	20	0
7	0.433042724811206	3.1270312529081	-4.05156951828508	0.581750099780038	4	2	1	0
5	0.979390733956981	-0.702011046266967	-0.790853030532215	0.839767764788121	4	0	15	0
4	-0.221776257278949	-1.36699663254622	1.12781505218209	0.312448164913803	6	3	7	1
6	0.0162987282535318	3.96765697964868	3.06263758780123	0.70829032221809	7	1	12	0
4	-0.419556264511948	1.77748419396393	-0.0522432440604801	0.265017806086689	5	2	6	1
4	0.47687234731741	0.743417186921169	1.36285585236541	0.594343194039539	9	2	8	1
10	-0.534077829592678	0.846361022445401	-1.12657515483235	0.481289800489321	2	1	5	0
3	1.49220776756874	3.85646228942266	0.96823410025312	0.26503273146227	8	1	12	1
8	-0.209697283934405	-0.0552259773182473	1.17088750570519	0.564590434776619	6	1	4	0
9	-0.152656221253544	1.38219314147874	1.86454063001511	0.913188223028556	3	2	13	0
4	0.923443593775824	-0.930121285582597	0.104457103329978	0.901874389499426	6	2	10	0
6	2.05292423400088	0.437224672707025	0.784432411301086	0.274166621500626	3	3	40	1
5	0.405207951775918	4.58530795624032	2.45708373137858	0.321482756407931	6	4	5	1
2	2.08101016435577	4.03593600421376	-2.97438515185228	0.985640884377062	2	0	19	0
7	-0.406817791744427	-0.38134712158877	4.97403363977319	0.619993310188875	5	1	8	0
7	0.49240504406109	3.97608665837431	-1.81027615148124	0.937314089154825	7	1	5	0
7	-0.0267808260504091	1.45635689570029	0.839234086972407	0.466532702324912	1	0	20	1
2	2.22176380567249	-0.193399986944018	0.143254711506684	0.406832593260333	0	2	20	1
4	-0.2791158069571	0.0575980986006295	4.19852376086272	0.659230324206874	4	2	9	1
1	2.70548784435523	-1.60988728377648	0.717630492507283	0.152346616843715	2	2	16	1
3	0.44420114309557	0.47056697680666	-0.809547452405806	0.572867058217525	5	3	9	0
5	0.0465706837316071	-0.964441448458655	2.18814394592854	0.238726026844233	9	0	17	1
5	-0.46195666993982	0.235545753044264	2.41448420421243	0.962358936434612	8	2	13	0
5	-0.710447441787977	0.148467059637027	1.22537481377724	0.601365725975484	6	2	10	0
7	-0.0227524638884069	4.38130131791769	-0.775178739464665	0.515029727248475	6	3	7	1
7	-0.530632160027916	0.332199378554725	0.696547871997127	0.402573342202231	2	1	4	0
2	0.546688454088983	-0.830177942126242	-2.03818150777032	0.880246541230008	4	4	16	0
10	1.07463859654606	-0.348201148520797	0.583215118495498	0.364091864787042	1	2	11	1
8	-0.000267304667493922	2.0324628378817	-3.87037628639828	0.288239280693233	5	0	3	1
9	0.203524410109362	0.767357382231106	-0.301032384046534	0.170645235106349	3	2	12	1
6	0.438262767336113	0.303129496311591	-0.585734719594685	0.172171746380627	5	2	3	1
3	-1.30418071588249	-1.56365749811857	-0.94128621196065	0.48204260552302	1	2	13	1
4	0.307614186358628	1.43370498492147	-0.412548153383499	0.252964928513393	4	0	8	1
8	0.201940752782197	0.778852933608523	1.49672283580481	0.21625478961505	8	1	5	1
2	0.952729554288153	1.29867010889079	-1.09378993112207	0.674376388080418	3	3	4	0
6	0.532074940717817	0.934066954081658	-2.47318877513956	0.0476636274252087	12	2	9	1
7	-0.560335867152332	0.729702437218138	0.504676415661221	0.700853087473661	4	2	12	0
7	1.00544466282941	3.21851273972352	-0.671272257144928	0.351888638455421	4	2	12	1
10	-0.35080766281024	1.72890171880204	-1.25901443742039	0.408943997928873	7	0	18	1
4	-0.430249345686616	1.60821796648392	0.267904949338629	0.820951323956251	8	1	9	0
9	-1.20623125437813	2.87673687259173	1.44826956598952	0.918857348151505	9	2	12	0
3	1.3945367345705	2.7599774107867	-2.25807081270783	0.282528330106288	5	1	15	1
3	0.609112549900596	0.791486209106063	-0.271520508225738	0.961104793706909	2	2	21	0
9	0.983704635588473	-1.19258687775696	-3.25073498494924	0.728394428268075	5	1	5	0
9	0.0852256543228503	-0.258467352391182	0.50147506272709	0.686375082004815	6	1	13	1
6	-0.529894722857788	-1.0618039238547	3.84918437060285	0.0528439427725971	5	4	11	1
8	3.31362188293883	-2.80872320147805	-2.76897663496021	0.395220134640113	5	1	11	0
8	-1.01632035631059	-1.16089654717318	0.473690261124687	0.477845379849896	5	2	10	1
2	-1.20142428327281	5.02703941925259	1.12150281306995	0.56025326368399	7	1	11	0
3	1.27754873418428	0.645526835896222	1.16838849712536	0.698261594865471	8	1	15	0
4	-0.238453327352545	0.978250721328271	1.67688783069343	0.915683538420126	4	0	11	0
1	0.825147901305313	-0.434220658069035	4.67257186313164	0.618351227371022	3	0	2	0
10	-1.43480406081339	-1.8461253634632	-3.12020404822122	0.428421508753672	7	1	11	1
4	0.388768955532436	0.696690459120884	-3.22503030909177	0.54208036721684	4	1	3	1
9	-1.70633907640306	1.46265182182075	-0.749873190279438	0.058478488586843	3	1	14	1
6	-0.408095510999782	1.41484504681146	-1.00965917039292	0.260856857057661	6	2	12	1
3	-0.81462586020755	2.3594633449854	-1.67833962339522	0.397151953307912	9	1	16	0
10	0.33958264005594	0.804519387934499	1.10608179255895	0.197744736680761	10	2	6	1
8	-0.0765757635153277	-0.0067745993593431	-0.291361705183115	0.83192756283097	12	2	8	0
5	-0.140662993618725	2.40001894245436	-1.37748893040489	0.152887222822756	10	1	10	1
5	-0.48927562992446	1.54346948689722	-0.745284218252847	0.803418542025611	6	3	4	0
1	0.225072399768473	-0.790457641067026	1.32083966859361	0.546826156554744	3	1	11	1
10	1.01738051094837	0.310114707813617	-2.242080083935	0.662317642010748	4	2	11	0
4	0.815646634727022	-0.427808105360997	-3.97300109310436	0.171698493883014	3	1	7	1
3	0.00447352026590666	1.06793289448561	1.87516359251552	0.633055359823629	4	2	7	0
2	1.24443317980604	-0.979327857751241	3.51382955059457	0.311869746772572	2	1	24	1
9	-0.492090980128811	1.4007465897245	0.0399679341815551	0.724554346408695	9	1	7	0
7	0.898251181774667	0.386841388493027	0.706727516679145	0.398939824663103	6	3	15	1
3	0.614691807854303	2.71683584298815	2.26254175187317	0.969356411136687	5	3	7	0
4	-0.400359746820557	-0.537889658122008	1.06487857379534	0.967398370616138	4	1	10	0
9	0.00968029797851495	-1.73239086071938	-3.0121510943509	0.726702539017424	3	2	12	0
8	0.629050422636125	-1.5961967870037	-0.220044580777093	0.257216746453196	3	2	16	1
6	1.13320928537753	2.06221336557968	0.975958412784759	0.221787934657186	8	1	7	1
9	-0.252070316593759	-0.616217221386545	2.18468349273131	0.593045651679859	7	1	6	0
6	0.211670746481647	0.0858941354811779	0.422428260751183	0.267521432135254	7	1	16	1
2	0.504996236102404	2.27442549703068	-0.649165182661638	0.531070398865268	5	2	16	0
8	0.397368968026644	0.102945108083703	0.0299038883959385	0.785291671287268	9	1	16	0
9	0.780908017904771	0.195355165996608	-0.20952176654024	0.168060810538009	3	1	11	1
7	-0.441630260783494	2.09922750101793	-0.491970301970656	0.404399181017652	5	1	11	1
3	-0.521663775398781	1.18267953587976	-3.60292752870583	0.471576277632266	2	2	17	0
1	1.01384156684455	0.496568677017468	3.71469589259317	0.868106806883588	6	1	12	0
5	0.0559461258250412	3.48749347184245	2.62555756732511	0.9257079558447	5	1	11	0
3	-1.43602249112782	2.5584325330491	1.47438996402902	0.88197755930014	3	0	7	0
4	-0.0510083330675254	1.80461910732389	-3.65451595103523	0.674186842516065	1	2	23	0
3	1.89859147105256	0.262434310727017	1.62953213436892	0.950166979338974	9	1	6	0
1	-1.56956175055141	0.105412405763385	-4.23012169701442	0.516444894252345	6	1	11	0
7	-2.37015566116376	1.78752620273986	0.167364428464091	0.576519021298736	4	1	10	0
4	-0.360697007284141	-0.521665524638471	-1.19544934865145	0.336331205908209	1	2	13	1
8	-0.0568478510553908	0.886405009704734	1.17164415731792	0.34732463140972	6	3	6	1
1	0.773924536553984	1.13330466718527	-0.272021850338107	0.0200243005529046	8	0	15	1
4	-1.65271318208091	0.202145150582976	0.111841957314496	0.502813045633957	4	0	12	0
1	-1.33262051882787	2.91805461187853	-0.444051607854958	0.871043413644657	5	1	21	0
2	0.00321511936654832	-1.73396905795811	-0.429275328144336	0.00630078394897282	5	2	3	1
6	0.560364431807248	-4.13832722621365	0.176271787118822	0.0720571239944547	6	4	15	1
10	0.910302327409704	0.241808847995635	0.255254000824076	0.164211224997416	10	0	16	1
7	-1.5709051647355	4.1451044791832	0.11616769670676	0.770334074273705	7	1	10	0
7	-0.0841251290081083	-0.279710468688635	0.852600948581177	0.735184305813164	3	1	11	0
8	0.385415859792933	2.45337642803613	-2.38373216574882	0.971875635674223	6	3	10	0
2	-0.903054199728597	4.37579451091644	-1.43298805973821	0.466472376836464	5	3	12	0
3	-1.20428544758405	0.342834329598017	1.57416746087814	0.0743845133110881	1	0	20	1
1	1.02618991823902	2.55668738373747	0.838553464898487	0.648818124318495	4	0	15	1
7	-0.739061982858552	2.50303090239223	-0.728617318496199	0.758593169506639	5	1	18	0
1	1.61455857737193	3.12232102306552	1.33709216667026	0.137106081005186	5	1	9	0
9	1.39951048032742	3.66322167693812	1.57051558957347	0.396584594622254	7	1	3	1
4	-0.125786536123717	3.86135819091977	-2.45512951407931	0.224985329201445	7	1	12	1
4	-1.02102195980407	3.70503052395432	0.450884470820091	0.0579585605300963	3	4	12	1
6	-2.11444894365276	-0.723074783291906	-0.851750006625922	0.395892688306049	8	0	15	1
8	0.802858083730607	-0.0386564177689157	-2.15051735039035	0.0649282999802381	2	1	14	1
9	-0.166521292015102	0.683333685455772	-1.25742966445098	0.225886432919651	5	1	12	1
1	2.0002265015349	3.29511902810983	0.495753478416716	0.05462910910137	1	1	4	1
7	1.99128216853967	2.97367544491391	-1.51123103507872	0.670282039558515	4	0	10	0
4	-0.965795912420968	-0.314876483378351	0.507476199668355	0.297741782618687	2	2	13	1
1	0.0799580305949441	1.07044786258794	-0.420553136158437	0.100721582304686	7	1	15	1
5	-0.0671269397577448	-2.33744310262163	-1.2264688261007	0.0719040972180665	5	2	15	1
9	2.40401727193033	1.7510974373834	-2.05277661595927	0.880440568784252	10	1	18	0
7	1.77911615945877	0.907151527901282	0.725939057104485	0.754247402073815	7	3	21	0
6	-0.159689424147604	2.51728432636732	-0.91824451942529	0.816605887608603	3	2	11	0
2	-0.786895398064328	0.735080216069047	-1.1210355922034	0.982140373671427	5	2	4	0
3	1.12851372846487	4.46207928194398	-1.02716232745702	0.103599644964561	4	1	11	1
4	-1.16579014042023	1.69954158246374	-1.75201618025627	0.0990418293513358	7	1	15	1
5	0.770275324382987	1.79230257166398	-1.19276239388738	0.798831611173227	1	1	14	0
6	1.55051913245707	0.221090302107636	0.576731751379812	0.784575266530737	4	0	30	0
6	0.366468432905392	4.47743385668395	0.183057670459703	0.00942990509793162	7	1	4	1
9	-0.394020365140024	1.60222945822392	1.71641233168767	0.779065882787108	6	1	40	0
5	0.105008517693232	-0.198475626652195	0.475276109783336	0.729390651918948	6	0	6	1
8	0.051134607535974	-0.340392968977306	-0.395872280800702	0.630131852813065	9	0	16	1
2	0.178422753169583	-1.52287579452617	-0.875311223623786	0.480910829966888	9	2	6	1
5	0.281406788713616	3.9009281826339	-1.34455926712377	0.15663685137406	7	2	4	1
4	0.866671690690856	-1.36854526781524	-0.422792690535503	0.00821551983244717	4	1	7	1
7	-0.00709323390982757	2.74093101320425	-1.08972416615187	0.452458394225687	6	1	7	1
4	0.463588106365689	3.29996747648745	-2.6689752297476	0.492293328745291	5	2	17	0
7	-0.85541460563214	1.33096799092033	0.524132427261656	0.389587111538276	10	2	12	1
2	1.63640130391276	3.25236765527117	-1.48078384621354	0.464665941894054	11	0	6	1
3	0.221972121126348	0.437427189715081	-1.86108073849068	0.713279000716284	7	1	2	1
10	1.7963323759718	-0.333937689276857	-3.09944046465537	0.0553019263315946	3	4	6	1
10	0.501256779369875	1.67533056987056	2.65882108419294	0.354783097514883	1	1	16	0
1	0.632053395895912	0.897437073088455	3.65032040029234	0.802812272915617	2	1	3	0
6	1.31311628541799	-0.950309641298879	-0.738822509098233	0.835708837024868	7	1	25	0
2	-0.0429254213533496	1.44980574592057	-4.88137234974303	0.237749404972419	4	1	14	0
7	-0.722521528783411	2.53559045183808	0.601198559817156	0.353986102622002	5	1	16	1
1	0.447464566702659	1.93479305256939	3.50447802634327	0.856885420158505	3	1	14	0
